time_period,time_identifier,geographic_level,country_code,country_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,34.0
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,42.0
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,9.0
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10.0
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,16.0
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,9.0
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,44.0
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,35.0
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10.0
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10.0
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,16.0
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,44.0
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,36.0
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,11.0
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10.0
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,16.0
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,45.0
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,37.0
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10.0
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10.0
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,16.0
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,9.0
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,1.0
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,37.0
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,46.0
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10.0
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,11.0
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,17.0
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,9.0
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,1.0
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,39.0
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,48.0
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,11.0
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,12.0
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,17.0
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,41.0
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,50.0
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,12.0
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,18.0
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,1.0
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,50.0
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,42.0
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,12.0
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,18.0
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,51.0
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,43.0
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,13.0
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,10.0
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,19.0
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,43.0
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,52.0
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,13.0
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,11.0
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,19.0
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,1.0
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,2.0
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,44.0
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,11.0
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,45.0
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,13.0
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,12.0
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,47.0
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,14.0
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,12.0
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,47.0
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,14.0
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,13.0
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,46.0
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,13.0
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,14.0
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,45.0
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,12.0
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,12.0
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,2.0
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,42.0
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,Total,50.0
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,High tariff,12.0
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,10.0
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,Total,17.0
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,1.0
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,High tariff,2.0
201213,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,Total,51.0
201213,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,42.0
201213,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,High tariff,12.0
201213,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
201213,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,11.0
201213,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,Total,18.0
201213,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201213,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,High tariff,2.0
201314,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,Total,52.0
201314,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,43.0
201314,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,High tariff,13.0
201314,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
201314,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,12.0
201314,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,Total,19.0
201314,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201314,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,High tariff,2.0
201415,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,44.0
201415,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,Total,52.0
201415,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
201415,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,High tariff,13.0
201415,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,11.0
201415,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,Total,19.0
201415,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201415,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,High tariff,2.0
201516,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,44.0
201516,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,13.0
201516,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,12.0
201516,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201617,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,45.0
201617,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,13.0
201617,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,13.0
201617,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201718,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,48.0
201718,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,14.0
201718,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,14.0
201718,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201819,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,48.0
201819,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,14.0
201819,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,14.0
201819,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
201920,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,47.0
201920,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,14.0
201920,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,14.0
201920,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,46.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,14.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,41.4
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,50.5
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,12.3
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,13.1
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,22.3
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,31.2
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,3.4
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,3.8
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,43.5
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,52.2
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,13.2
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,13.9
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,33.2
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,24.4
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,4.3
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,3.8
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,45.5
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,54.2
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,13.9
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,14.6
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,26.4
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,35.2
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.3
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,4.7
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,55.0
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,46.3
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,14.8
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.1
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,36.3
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,27.4
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.1
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.6
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,56.0
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,47.5
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,15.1
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.5
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,27.8
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,36.9
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.8
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.2
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,47.8
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,56.3
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.7
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,15.3
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,28.4
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,37.7
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.9
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.4
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,48.5
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.9
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,28.8
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,5.0
201617,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,49.4
